Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Season,Result,BFH,BFD,BFA,1XBH,1XBD,1XBA,BFEH,BFED,BFEA,BFE>2.5,BFE<2.5,BFEAHH,BFEAHA,BFCH,BFCD,BFCA,1XBCH,1XBCD,1XBCA,BFECH,BFECD,BFECA,BFEC>2.5,BFEC<2.5,BFECAHH,BFECAHA,home_Season,home_Date,home_Team,home_Opponent,home_is_home,home_GoalsFor,home_GoalsAgainst,home_Shots,home_ShotsOT,home_Cards,home_Points,home_GoalsFor_rolling_mean,home_GoalsFor_rolling_sum,home_GoalsAgainst_rolling_mean,home_GoalsAgainst_rolling_sum,home_Shots_rolling_mean,home_Shots_rolling_sum,home_ShotsOT_rolling_mean,home_ShotsOT_rolling_sum,home_Cards_rolling_mean,home_Cards_rolling_sum,home_Points_rolling_mean,home_Points_rolling_sum,home_PrevSeasonPoints,away_Season,away_Date,away_Team,away_Opponent,away_is_home,away_GoalsFor,away_GoalsAgainst,away_Shots,away_ShotsOT,away_Cards,away_Points,away_GoalsFor_rolling_mean,away_GoalsFor_rolling_sum,away_GoalsAgainst_rolling_mean,away_GoalsAgainst_rolling_sum,away_Shots_rolling_mean,away_Shots_rolling_sum,away_ShotsOT_rolling_mean,away_ShotsOT_rolling_sum,away_Cards_rolling_mean,away_Cards_rolling_sum,away_Points_rolling_mean,away_Points_rolling_sum,away_PrevSeasonPoints,h2h_points_home,h2h_points_away
E0,2019-11-10,16:30,Liverpool,Man City,3,1,H,2,0,H,M Oliver,12,18,5,3,10,5,4,13,0,2,0,0,2.5,3.6,2.62,2.65,3.6,2.55,2.5,3.5,2.7,2.57,3.66,2.74,2.55,3.6,2.62,2.5,3.6,2.7,2.7,3.75,2.78,2.56,3.58,2.68,1.66,2.2,1.63,2.42,1.67,2.42,1.63,2.3,0.0,1.9,2.03,1.9,2.03,2.01,2.05,1.89,1.99,2.7,3.6,2.5,2.7,3.6,2.55,2.6,3.5,2.6,2.72,3.64,2.62,2.62,3.6,2.7,2.7,3.7,2.5,2.8,3.75,2.83,2.69,3.64,2.55,1.53,2.5,1.6,2.5,1.6,2.67,1.54,2.49,0.0,2.02,1.91,2.01,1.93,2.04,2.08,1.98,1.9,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2019-11-10,Liverpool,Man City,1,3,1,12,5,0,3,1.6,8.0,0.8,4.0,18.0,90.0,7.0,35.0,1.6,8.0,2.6,13.0,,2019,2019-11-10,Man City,Liverpool,0,1,3,18,3,2,0,2.0,10.0,0.8,4.0,22.0,110.0,6.8,34.0,2.8,14.0,2.4,12.0,,0,0
E0,2020-07-02,20:15,Man City,Liverpool,4,0,H,3,0,H,A Taylor,14,11,6,3,8,7,3,3,2,2,0,0,2.05,3.9,3.3,2.05,3.8,3.3,2.05,3.8,3.3,2.08,4.01,3.42,2.05,3.8,3.3,2.1,3.75,3.3,2.14,4.32,3.52,2.07,3.85,3.32,1.57,2.37,1.6,2.52,1.64,2.55,1.57,2.42,-0.5,2.05,1.75,2.08,1.85,2.12,1.85,2.06,1.81,1.95,3.8,3.6,1.95,3.75,3.7,2.0,3.8,3.5,2.05,3.79,3.59,2.0,3.75,3.5,2.05,3.7,3.6,2.1,3.94,3.88,2.02,3.74,3.57,1.72,2.1,1.72,2.24,1.79,2.4,1.68,2.2,-0.5,2.06,1.87,2.05,1.87,2.07,1.99,2.03,1.85,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,2020-07-02,Man City,Liverpool,1,4,0,14,6,2,3,2.0,10.0,0.8,4.0,15.0,75.0,6.0,30.0,1.8,9.0,1.8,9.0,,2019,2020-07-02,Liverpool,Man City,0,0,4,11,3,2,0,1.8,9.0,1.2,6.0,15.4,77.0,4.8,24.0,0.4,2.0,2.0,10.0,,0,3
E0,2020-11-08,16:30,Man City,Liverpool,1,1,D,1,1,D,C Pawson,7,10,2,3,19,11,1,2,3,1,0,0,1.95,4.2,3.4,1.95,4.0,3.5,2.0,3.8,3.4,2.0,4.2,3.56,2.0,3.9,3.4,2.0,3.9,3.4,2.05,4.33,3.59,1.99,4.03,3.42,1.44,2.75,1.45,2.89,1.49,2.94,1.44,2.79,-0.5,2.02,1.91,2.0,1.93,2.05,1.95,2.0,1.88,1.9,4.2,3.5,1.9,4.0,3.7,1.95,3.9,3.6,1.95,4.17,3.78,1.88,4.2,3.6,1.9,4.1,3.6,1.99,4.49,3.9,1.92,4.14,3.62,1.4,3.0,1.42,3.08,1.45,3.22,1.41,2.9,-0.5,1.95,1.98,1.95,1.99,1.96,2.01,1.92,1.95,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2020-11-08,Man City,Liverpool,1,1,1,7,2,3,1,1.2,6.0,1.4,7.0,16.4,82.0,5.4,27.0,1.2,6.0,1.6,8.0,81.0,2020,2020-11-08,Liverpool,Man City,0,1,1,10,3,1,1,2.2,11.0,2.4,12.0,16.6,83.0,6.8,34.0,1.0,5.0,2.0,10.0,99.0,3,3
E0,2021-02-07,16:30,Liverpool,Man City,1,4,A,0,0,D,M Oliver,8,8,3,5,13,8,6,1,2,1,0,0,3.4,3.6,2.05,3.4,3.7,2.05,3.4,3.4,2.2,3.44,3.7,2.17,3.4,3.6,2.1,3.4,3.6,2.1,3.54,3.78,2.2,3.37,3.63,2.12,1.72,2.1,1.74,2.2,1.78,2.29,1.7,2.17,0.25,2.03,1.87,2.05,1.88,2.16,1.88,2.04,1.84,3.2,3.6,2.15,3.1,3.6,2.2,3.25,3.35,2.25,3.15,3.69,2.3,3.25,3.5,2.2,3.13,3.5,2.25,3.45,3.76,2.35,3.13,3.6,2.25,1.72,2.1,1.76,2.17,1.83,2.25,1.74,2.12,0.25,1.92,2.01,1.93,2.0,2.02,2.03,1.92,1.97,2020,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,2021-02-07,Liverpool,Man City,1,1,4,8,3,2,0,1.2,6.0,0.8,4.0,16.6,83.0,4.4,22.0,1.4,7.0,1.4,7.0,99.0,2020,2021-02-07,Man City,Liverpool,0,4,1,8,5,1,3,2.8,14.0,0.0,0.0,17.2,86.0,6.6,33.0,0.2,1.0,3.0,15.0,81.0,4,4
E0,2021-10-03,16:30,Liverpool,Man City,2,2,D,0,0,D,P Tierney,6,12,4,3,10,12,3,4,3,3,0,0,2.87,3.5,2.4,2.8,3.6,2.4,2.85,3.4,2.45,2.99,3.55,2.46,2.8,3.5,2.38,2.8,3.4,2.38,3.0,3.75,2.52,2.9,3.53,2.43,1.72,2.1,1.74,2.2,1.79,2.25,1.73,2.14,0.25,1.82,2.11,1.82,2.12,1.83,2.14,1.8,2.1,2.9,3.6,2.3,3.0,3.6,2.3,2.9,3.4,2.45,3.12,3.54,2.38,2.8,3.6,2.35,3.0,3.6,2.38,3.2,3.97,2.45,3.02,3.56,2.35,1.72,2.1,1.78,2.15,1.79,2.28,1.73,2.15,0.25,1.87,2.06,1.88,2.06,1.92,2.19,1.85,2.04,2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-10-03,Liverpool,Man City,1,2,2,6,4,3,1,2.4,12.0,0.8,4.0,24.4,122.0,8.2,41.0,1.0,5.0,2.2,11.0,69.0,2021,2021-10-03,Man City,Liverpool,0,2,2,12,3,3,1,2.4,12.0,0.0,0.0,19.8,99.0,5.4,27.0,1.2,6.0,2.6,13.0,86.0,4,7
E0,2022-04-10,16:30,Man City,Liverpool,2,2,D,2,1,H,A Taylor,11,6,5,4,9,11,4,1,1,4,0,0,2.0,3.75,3.5,2.0,3.75,3.4,2.05,3.5,3.55,2.1,3.75,3.56,2.0,3.6,3.5,2.0,3.5,3.5,2.14,3.88,3.7,2.06,3.71,3.5,1.72,2.1,1.74,2.2,1.77,2.28,1.7,2.18,-0.5,2.04,1.86,2.1,1.84,2.1,1.9,2.06,1.83,1.95,3.75,3.8,1.93,3.75,3.6,2.0,3.6,3.6,1.98,3.82,3.9,1.95,3.6,3.75,2.0,3.6,3.8,2.11,4.12,3.98,1.99,3.74,3.74,1.8,2.0,1.81,2.11,1.87,2.17,1.78,2.07,-0.5,1.99,1.91,1.98,1.95,2.07,1.95,1.99,1.89,2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2022-04-10,Man City,Liverpool,1,2,2,11,5,1,1,1.8,9.0,0.8,4.0,18.8,94.0,6.4,32.0,0.6,3.0,2.0,10.0,86.0,2021,2022-04-10,Liverpool,Man City,0,2,2,6,4,4,1,2.6,13.0,0.0,0.0,18.4,92.0,7.0,35.0,1.0,5.0,3.0,15.0,69.0,8,5
E0,2022-10-16,16:30,Liverpool,Man City,1,0,H,0,0,D,A Taylor,13,16,2,6,10,7,5,6,3,1,0,0,3.6,4.0,1.9,3.5,4.0,1.9,3.6,4.1,1.9,4.0,4.11,1.88,3.7,3.9,1.88,3.6,3.9,1.87,4.1,4.33,1.95,3.74,4.06,1.91,1.44,2.75,1.49,2.76,1.5,2.8,1.46,2.7,0.5,1.99,1.91,2.04,1.88,2.04,1.96,1.97,1.91,3.75,4.0,1.85,3.75,4.0,1.85,3.65,3.8,1.95,3.81,4.25,1.9,4.0,3.8,1.83,3.75,4.0,1.83,4.18,4.35,1.95,3.8,4.11,1.88,1.44,2.75,1.49,2.76,1.49,2.96,1.45,2.78,0.5,2.02,1.88,2.02,1.9,2.05,1.95,2.0,1.88,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2022-10-16,Liverpool,Man City,1,1,0,13,2,3,3,3.2,16.0,1.4,7.0,17.6,88.0,7.2,36.0,1.0,5.0,1.6,8.0,92.0,2022,2022-10-16,Man City,Liverpool,0,0,1,16,6,1,0,4.0,20.0,0.8,4.0,17.8,89.0,7.6,38.0,0.2,1.0,2.6,13.0,93.0,3,9
E0,2023-04-01,12:30,Man City,Liverpool,4,1,H,1,1,D,S Hooper,17,4,8,1,9,12,7,1,1,1,0,0,1.62,4.2,5.0,1.61,4.1,5.25,1.63,4.3,4.9,1.66,4.22,5.26,1.62,4.0,5.25,1.6,4.0,5.25,1.7,4.4,5.5,1.64,4.2,5.19,1.67,2.2,1.69,2.26,1.73,2.36,1.65,2.27,-1.0,2.09,1.81,2.1,1.81,2.15,1.86,2.07,1.81,1.65,4.2,5.0,1.66,4.1,4.75,1.63,4.3,4.9,1.67,4.25,5.3,1.65,3.9,5.0,1.65,4.1,5.0,1.74,4.35,5.4,1.68,4.15,4.97,1.62,2.3,1.67,2.32,1.7,2.48,1.63,2.29,-0.75,1.82,2.08,1.85,2.08,1.91,2.12,1.83,2.03,2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2023-04-01,Man City,Liverpool,1,4,1,17,8,1,3,2.2,11.0,0.6,3.0,16.0,80.0,4.8,24.0,1.8,9.0,2.6,13.0,93.0,2022,2023-04-01,Liverpool,Man City,0,1,4,4,1,1,0,2.2,11.0,0.2,1.0,14.6,73.0,6.2,31.0,2.2,11.0,2.0,10.0,92.0,6,6
E0,2023-11-25,12:30,Man City,Liverpool,1,1,D,1,0,H,C Kavanagh,16,8,5,3,9,11,9,6,1,3,0,0,1.73,4.2,4.2,1.72,4.2,4.2,1.75,4.2,4.1,1.75,4.37,4.24,1.65,4.33,4.2,1.7,4.0,4.4,1.8,4.5,4.51,1.75,4.31,4.29,1.48,2.6,1.53,2.59,1.53,2.75,1.5,2.62,-0.75,1.97,1.96,1.95,1.95,2.01,2.0,1.92,1.94,1.7,4.2,4.33,1.71,4.2,4.33,1.7,4.2,4.4,1.7,4.42,4.61,1.65,4.2,4.4,1.67,4.2,4.75,1.83,4.6,4.9,1.71,4.31,4.54,1.48,2.6,1.5,2.71,1.58,2.79,1.49,2.61,-0.75,1.88,2.05,1.88,2.04,1.97,2.06,1.87,1.98,2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,2023-11-25,Man City,Liverpool,1,1,1,16,5,1,1,3.0,15.0,1.4,7.0,14.2,71.0,7.0,35.0,2.2,11.0,2.0,10.0,89.0,2023,2023-11-25,Liverpool,Man City,0,1,1,8,3,3,1,2.2,11.0,0.6,3.0,20.4,102.0,6.8,34.0,1.4,7.0,2.2,11.0,67.0,8,5
E0,2024-03-10,15:45,Liverpool,Man City,1,1,D,0,1,A,M Oliver,19,10,6,6,6,10,7,4,0,3,0,0,3.0,3.75,2.2,2.9,3.75,2.2,,,,3.02,3.8,2.28,2.9,3.8,2.2,2.88,3.7,2.2,3.15,4.0,2.34,2.95,3.83,2.25,1.5,2.5,1.54,2.59,1.54,2.75,1.5,2.59,0.25,1.93,2.0,1.91,2.0,1.93,2.02,1.88,1.95,3.4,3.8,2.05,3.25,3.8,2.05,,,,3.48,3.9,2.06,3.4,3.8,2.1,3.4,3.9,2.0,3.63,4.05,2.2,3.4,3.88,2.05,1.48,2.6,1.47,2.77,1.52,2.88,1.47,2.71,0.5,1.86,2.07,1.86,2.07,1.88,2.15,1.83,2.06,2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,2024-03-10,Liverpool,Man City,1,1,1,19,6,0,1,2.6,13.0,1.2,6.0,20.2,101.0,6.8,34.0,2.2,11.0,2.4,12.0,67.0,2023,2024-03-10,Man City,Liverpool,0,1,1,10,6,3,1,1.6,8.0,0.4,2.0,23.4,117.0,6.6,33.0,1.0,5.0,2.6,13.0,89.0,6,6
