Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,home_GoalsFor_rolling_mean,home_GoalsFor_rolling_sum,home_GoalsAgainst_rolling_mean,home_GoalsAgainst_rolling_sum,home_Shots_rolling_mean,home_Shots_rolling_sum,home_ShotsOT_rolling_mean,home_ShotsOT_rolling_sum,home_Cards_rolling_mean,home_Cards_rolling_sum,home_Points_rolling_mean,home_Points_rolling_sum,home_PrevSeasonPoints,away_GoalsFor_rolling_mean,away_GoalsFor_rolling_sum,away_GoalsAgainst_rolling_mean,away_GoalsAgainst_rolling_sum,away_Shots_rolling_mean,away_Shots_rolling_sum,away_ShotsOT_rolling_mean,away_ShotsOT_rolling_sum,away_Cards_rolling_mean,away_Cards_rolling_sum,away_Points_rolling_mean,away_Points_rolling_sum,away_PrevSeasonPoints,h2h_points_home,h2h_points_away,home_value,away_value,home_goal_diff_rolling_mean,home_goal_diff_rolling_sum,away_goal_diff_rolling_mean,away_goal_diff_rolling_sum,home_points_sum,away_points_sum,home_points_sum_5,away_points_sum_5,home_points_mean_5,away_points_mean_5,value_gap,points_gap,goal_diff_gap,shots_gap,shots_ot_gap,cards_gap
E0,2019-08-09,20:00,Liverpool,Norwich City,4,1,H,4,0,H,M Oliver,15,12,7,5,9,9,11,2,0,2,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1080.0,85.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,994.6,0.0,,,,
E0,2019-08-10,12:30,West Ham,Man City,0,5,A,0,1,A,M Dean,5,14,3,9,6,13,1,1,2,2,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,344.75,1240.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,895.25,0.0,,,,
E0,2019-08-10,15:00,Bournemouth,Sheffield United,1,1,D,0,0,D,K Friend,13,8,3,3,10,19,3,4,2,1,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,299.0,56.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,242.5,0.0,,,,
E0,2019-08-10,15:00,Burnley,Southampton,3,0,H,0,0,D,G Scott,10,11,4,3,6,12,2,7,0,0,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,203.25,294.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.25,0.0,,,,
E0,2019-08-10,15:00,Crystal Palace,Everton,0,0,D,0,0,D,J Moss,6,10,2,3,16,14,6,2,2,1,0,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,215.7,440.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,224.3,0.0,,,,
E0,2019-08-10,15:00,Watford,Brighton,0,3,A,0,1,A,C Pawson,11,5,3,3,15,11,5,2,0,1,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,235.05,188.45,,,,,0.0,0.0,0.0,0.0,0.0,0.0,46.60000000000002,0.0,,,,
E0,2019-08-10,17:30,Tottenham,Aston Villa,3,1,H,0,1,A,C Kavanagh,31,7,7,4,13,9,14,0,1,0,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,904.0,156.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0,747.5,0.0,,,,
E0,2019-08-11,14:00,Leicester City,Wolves,0,0,D,0,0,D,A Marriner,15,8,1,2,3,13,12,3,0,2,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,439.0,310.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,128.60000000000002,0.0,,,,
E0,2019-08-11,14:00,Newcastle,Arsenal,0,1,A,0,0,D,M Atkinson,9,8,2,2,12,7,5,3,1,3,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,218.58,610.75,,,,,0.0,0.0,0.0,0.0,0.0,0.0,392.16999999999996,0.0,,,,
E0,2019-08-11,16:30,Man United,Chelsea,4,0,H,1,0,H,A Taylor,11,18,5,7,15,13,3,5,3,4,0,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,801.1,863.75,,,,,0.0,0.0,0.0,0.0,0.0,0.0,62.64999999999998,0.0,,,,
